forecast_id,forecast_month,expected_revenue
1,2024-01-01,281561.58
2,2024-02-01,278800.32
3,2024-03-01,285804.74
4,2024-04-01,289360.46
5,2024-05-01,299607.39
6,2024-06-01,303127.46
7,2024-07-01,309987.73
8,2024-08-01,304287.95
9,2024-09-01,312620.59
10,2024-10-01,311822.78
11,2024-11-01,318376.06
12,2024-12-01,326269.88
13,2025-01-01,324142.7
14,2025-02-01,330569.24
15,2025-03-01,340831.23
16,2025-04-01,343616.6
17,2025-05-01,343317.48
18,2025-06-01,352654.72
19,2025-07-01,360001.34
20,2025-08-01,352697.53
21,2025-09-01,368452.73
22,2025-10-01,371118.2
23,2025-11-01,370020.37
24,2025-12-01,371410.14
25,2026-01-01,387764.27
26,2026-02-01,382483.56
27,2026-03-01,382859.87
28,2026-04-01,387053.93
